TAUTH,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TOK,SHOT,DATE,TIME,ind
-2.059638914383656,-0.0026033858701149278,0.9158906518528154,1.5045217424845405,0.9458495341156994,0.5050087384444258,0.4788814049191619,-1.2057849461688623,0.6931471805599453,AUG,7439,19960221,3.0,1516
-2.077842820316139,-0.0032051309489484468,0.9158906518528154,1.5629750380237595,0.9574326752053303,0.5056120567131032,0.47945012651290764,-1.2065898163882371,0.6931471805599453,AUG,7440,19960221,3.0,1517
-2.059638914383656,-0.0033054570087265927,0.9158906518528154,1.6419051025716018,0.9771976667776765,0.5062150112083075,0.48170983102124687,-1.2090085688200582,0.6931471805599453,AUG,7441,19960221,3.0,1518
-2.2730262907525014,-0.0015011261262672026,0.9150900112976361,1.8864634046973525,1.5160059676415478,0.4989554511955033,0.4834630559151575,-1.2051878713041042,0.6931471805599453,AUG,7444,19960221,2.4,1519
-2.3413259213104762,-0.0021022080918701985,0.9150900112976361,1.9384538483788585,1.5551928975817044,0.501381164937991,0.48905289072529523,-1.2104544960481955,0.6931471805599453,AUG,7444,19960221,3.0,1520
-2.2916451529557116,-0.002402884616310426,0.9150900112976361,1.778843077294828,1.5245334053436563,0.4995624314872799,0.4849479791023867,-1.2076202247829795,0.6931471805599453,AUG,7446,19960221,2.4,1521
-2.314252897861728,-0.0026033858701149278,0.9150900112976361,1.7949211325656338,1.5439389302014046,0.501381164937991,0.49112256507269314,-1.2118779838330493,0.6931471805599453,AUG,7446,19960221,3.0,1522
-2.2886821878250543,-0.0030045090202987243,0.9150900112976361,1.7865794091865128,1.5184185140469317,0.501381164937991,0.4899376939820678,-1.2116745043329067,0.6931471805599453,AUG,7468,19960221,3.0,1523
-2.249044326066016,-0.0025031302181185884,0.9150900112976361,1.8457740575342934,1.5098385472113456,0.498348102254878,0.4837277339141049,-1.2051886099468256,0.6931471805599453,AUG,7469,19960221,2.4,1524
-2.280823601212533,-0.0030045090202987243,0.9146894505071812,1.7900914121273581,1.5245334053436563,0.5007752879124892,0.49061427559481263,-1.2118827938494274,0.6931471805599453,AUG,7469,19960221,3.0,1525
-2.290656522128772,-0.0021022080918701985,0.9150900112976361,1.7882533298987673,1.5245334053436563,0.501381164937991,0.4907875151462602,-1.2124886708749292,0.6931471805599453,AUG,7470,19960221,2.8,1526
-2.24431618487007,-0.0018016219466282088,0.9150900112976361,1.8349785883480316,1.5002924651733023,0.4989554511955033,0.485554959285813,-1.207013244491203,0.6931471805599453,AUG,7471,19960221,2.4,1527
-2.284745174865715,-0.0028039273327342593,0.9150900112976361,1.7631885122400188,1.5192943625811344,0.501381164937991,0.4920456773134451,-1.2135073120957391,0.6931471805599453,AUG,7471,19960221,3.0,1528
